team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2008,NYI,2008020009,NYI,N.J,AWAY,20081010,Team Level,other,1.0,1.0,1.0,1356.0,4.491,0.911,0.342,0.635,0.118,2.528,1.532,0.82,0.911,0.82,6.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,2.0,0.109,0.252,0.55,0.0,0.0,0.0,9.0,7.0,7.0,0.0,0.131,0.0,0.0,0.976,0.976,0.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYI,2008,NYI,2008020009,NYI,N.J,AWAY,20081010,Team Level,all,0.5183,0.4141,0.44,3600.0,23.385,2.417,1.555,5.247,0.819,12.837,9.19,2.314,2.433,2.33,26.0,7.0,8.0,41.0,1.0,1.0,0.0,4.0,3.0,13.0,11.0,25.0,32.0,6.0,12.0,30.0,12.0,8.0,8.0,23.0,6.0,4.0,0.503,0.653,1.261,0.0,0.0,1.0,40.945,33.0,32.719,5.0,0.412,0.244,0.283,2.481,2.497,2.389,30.372,2.246,2.106,7.065,0.937,17.154,12.492,2.188,2.209,2.151,29.0,13.0,16.0,58.0,2.0,2.0,1.0,8.0,1.0,15.0,14.0,27.0,40.0,8.0,14.0,28.0,21.0,10.0,1.0,36.0,3.0,3.0,1.071,0.351,0.824,1.0,0.0,1.0,58.187,42.0,42.375,0.0,0.449,0.57,0.57,2.125,2.083,2.065
NYI,2008,NYI,2008020009,NYI,N.J,AWAY,20081010,Team Level,5on5,0.3627,0.3425,0.3519,1739.0,13.698,0.975,0.754,3.731,0.542,7.274,5.724,0.964,0.991,0.98,15.0,4.0,6.0,25.0,0.0,1.0,0.0,2.0,3.0,5.0,8.0,15.0,19.0,5.0,10.0,20.0,11.0,3.0,6.0,14.0,4.0,1.0,0.33,0.401,0.244,0.0,0.0,0.0,24.945,19.0,18.719,5.0,0.153,0.244,0.283,0.846,0.862,0.858,25.267,1.713,1.648,5.906,0.772,14.34,10.621,1.664,1.677,1.627,25.0,10.0,13.0,48.0,1.0,1.0,1.0,6.0,1.0,14.0,12.0,24.0,34.0,6.0,10.0,17.0,17.0,7.0,1.0,30.0,3.0,2.0,0.82,0.351,0.543,0.0,0.0,1.0,48.187,35.0,35.375,0.0,0.337,0.288,0.288,1.762,1.719,1.704
NYI,2008,NYI,2008020009,NYI,N.J,AWAY,20081010,Team Level,4on5,0.0278,0.1,0.1429,326.0,0.77,0.014,0.025,0.151,0.02,0.236,0.554,0.014,0.014,0.014,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.019,0.019,0.019,4.393,0.489,0.438,1.061,0.146,2.615,1.25,0.48,0.489,0.48,4.0,2.0,3.0,9.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,0.207,0.0,0.281,1.0,0.0,0.0,9.0,6.0,6.0,0.0,0.108,0.281,0.281,0.315,0.315,0.313
NYI,2008,NYI,2008020009,NYI,N.J,AWAY,20081010,Team Level,5on4,0.9216,0.8571,0.8571,179.0,4.426,0.517,0.435,0.73,0.139,2.799,1.38,0.517,0.517,0.517,4.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,5.0,1.0,2.0,2.0,0.0,1.0,2.0,5.0,0.0,1.0,0.05,0.0,0.467,0.0,0.0,1.0,6.0,6.0,6.0,0.0,0.123,0.0,0.0,0.64,0.64,0.639,0.712,0.044,0.02,0.098,0.019,0.199,0.62,0.044,0.044,0.044,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.049,0.049,0.049
NYI,2008,NYI,2008020018,NYI,STL,HOME,20081011,Team Level,other,1.0,0.5,1.0,37.0,0.789,0.812,0.004,0.006,0.012,0.077,0.09,0.812,0.812,0.812,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.812,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001,0.0,0.0,0.813,0.813,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYI,2008,NYI,2008020018,NYI,STL,HOME,20081011,Team Level,all,0.611,0.5214,0.5765,3600.0,33.772,3.979,2.554,7.173,1.145,19.979,14.17,3.906,4.024,3.95,34.0,15.0,12.0,61.0,5.0,4.0,2.0,9.0,0.0,17.0,14.0,29.0,44.0,3.0,6.0,27.0,26.0,16.0,9.0,36.0,10.0,3.0,1.41,1.139,1.43,2.0,0.0,3.0,65.314,49.0,50.788,4.0,0.537,0.741,0.741,3.775,3.824,3.775,26.321,2.533,1.92,5.691,0.816,14.692,10.348,2.518,2.497,2.482,26.0,10.0,20.0,56.0,2.0,2.0,1.0,6.0,1.0,8.0,17.0,24.0,34.0,4.0,8.0,30.0,16.0,16.0,10.0,26.0,9.0,1.0,0.526,1.208,0.8,0.0,1.0,1.0,52.573,36.0,34.796,2.0,0.42,0.81,0.81,2.143,2.1,2.088
NYI,2008,NYI,2008020018,NYI,STL,HOME,20081011,Team Level,5on5,0.5882,0.5275,0.5909,2820.0,26.623,2.387,1.993,5.983,0.925,16.609,11.103,2.343,2.432,2.386,27.0,12.0,9.0,48.0,2.0,3.0,1.0,9.0,0.0,14.0,11.0,25.0,37.0,3.0,6.0,23.0,21.0,11.0,6.0,30.0,8.0,1.0,1.12,0.922,0.346,1.0,0.0,1.0,52.314,39.0,40.788,3.0,0.408,0.469,0.469,2.326,2.375,2.335,19.967,1.671,1.407,4.328,0.577,10.633,8.385,1.662,1.634,1.626,20.0,7.0,16.0,43.0,1.0,0.0,0.0,5.0,0.0,6.0,15.0,19.0,26.0,4.0,8.0,21.0,15.0,14.0,9.0,18.0,9.0,0.0,0.463,1.208,0.0,0.0,1.0,0.0,39.573,27.0,25.796,2.0,0.288,0.0,0.0,1.959,1.916,1.904
NYI,2008,NYI,2008020018,NYI,STL,HOME,20081011,Team Level,4on5,0.3006,0.2667,0.25,282.0,2.363,0.371,0.174,0.412,0.071,0.648,1.324,0.348,0.371,0.348,3.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012,0.087,0.272,0.0,0.0,1.0,4.0,3.0,3.0,1.0,0.04,0.272,0.272,0.139,0.139,0.137,6.354,0.863,0.513,1.363,0.239,4.059,1.963,0.856,0.863,0.856,6.0,3.0,2.0,11.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,8.0,0.0,0.0,7.0,0.0,0.0,1.0,8.0,0.0,1.0,0.063,0.0,0.8,0.0,0.0,1.0,11.0,9.0,9.0,0.0,0.132,0.81,0.81,0.184,0.184,0.184
NYI,2008,NYI,2008020018,NYI,STL,HOME,20081011,Team Level,5on4,1.0,0.8889,1.0,461.0,3.997,0.409,0.383,0.773,0.137,2.645,1.654,0.404,0.409,0.404,3.0,3.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,3.0,4.0,2.0,2.0,5.0,1.0,0.0,0.278,0.131,0.0,1.0,0.0,0.0,8.0,6.0,6.0,0.0,0.088,0.0,0.0,0.497,0.497,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
