playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477407,2014,Anthony Duclair,NYR,L,other,18,263.0,5.0,2.7,0.12,0.36,0.67,0.47,0.43,0.42,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,2.15,0.15,0.15,0.15,0.15,3.0,0.0,5.0,8.0,0.0,1.0,0.0,3.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,0.06,0.05,0.05,0.17,0.17,0.16,2.69,1.15,1.15,1.15,1.15,1.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.04,0.1,1.02,0.0,0.0,0.0,4.0,4.0,4.0,0.03,0.0,0.0,1.18,1.18,1.18,2.19,3.89,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8477407,2014,Anthony Duclair,NYR,L,all,18,13129.0,312.0,7.7,0.54,0.49,0.56,0.5,0.54,0.49,162.0,18.79,2.18,1.63,3.62,0.61,10.71,7.24,2.15,2.16,2.13,4.0,2.0,18.0,8.0,10.0,36.0,7.0,1.0,0.0,0.0,2.0,1.0,10.0,12.0,17.0,25.0,2.0,4.0,0.0,6.0,5.0,6.0,16.0,10.0,0.0,0.78,1.4,0.0,1.0,0.0,0.0,35.39,26.0,25.62,4.0,0.35,0.0,0.0,2.53,2.51,2.47,312.0,49.0,20.0,58.0,185.0,40.0,44.0,46.0,182.0,0.0,0.0,52681.0,4.0,8.0,4.0,5.0,98.29,9.64,9.11,9.51,8.99,100.0,37.0,70.0,207.0,9.0,5.0,2.0,104.0,24.0,9.0,3.46,3.2,2.99,5.0,2.0,2.0,203.15,137.0,134.72,1.54,1.52,1.45,9.73,9.6,9.41,83.85,8.24,8.06,8.48,8.3,84.0,31.0,47.0,162.0,4.0,5.0,0.0,80.0,27.0,8.0,2.3,3.33,2.61,1.0,3.0,0.0,166.21,115.0,118.15,1.23,1.21,1.21,8.26,8.49,8.36,40.72,41.85,796.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0
8477407,2014,Anthony Duclair,NYR,L,5on5,18,11411.0,270.0,7.7,0.49,0.49,0.51,0.51,0.5,0.5,153.0,15.74,1.63,1.36,3.1,0.48,8.5,5.94,1.59,1.61,1.57,4.0,1.0,16.0,5.0,10.0,31.0,6.0,1.0,0.0,0.0,2.0,1.0,8.0,9.0,15.0,20.0,2.0,4.0,0.0,6.0,5.0,6.0,14.0,7.0,0.0,0.69,0.94,0.0,1.0,0.0,0.0,30.39,21.0,20.62,4.0,0.29,0.0,0.0,1.91,1.89,1.85,270.0,37.0,20.0,52.0,161.0,37.0,41.0,40.0,152.0,0.0,0.0,40507.0,4.0,8.0,4.0,5.0,76.66,6.55,6.37,6.42,6.25,77.0,29.0,55.0,161.0,8.0,2.0,2.0,82.0,18.0,6.0,2.62,2.36,1.57,5.0,1.0,2.0,157.15,106.0,103.72,1.11,0.64,0.64,7.02,6.89,6.78,78.29,6.83,6.65,7.07,6.89,79.0,27.0,47.0,153.0,3.0,5.0,0.0,76.0,24.0,6.0,2.23,3.0,1.59,1.0,2.0,0.0,157.21,106.0,109.15,1.16,1.21,1.21,6.78,7.0,6.88,28.07,29.17,611.0,590.0,0.3,0.34,11.0,11.0,10.0,7.0
8477407,2014,Anthony Duclair,NYR,L,4on5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477407,2014,Anthony Duclair,NYR,L,5on4,18,1455.0,37.0,5.97,0.96,0.89,0.92,0.9,0.9,0.88,99.0,3.05,0.55,0.27,0.53,0.14,2.21,1.3,0.55,0.55,0.55,0.0,1.0,2.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.09,0.47,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.07,0.0,0.0,0.62,0.62,0.62,37.0,10.0,0.0,6.0,21.0,2.0,2.0,6.0,27.0,0.0,0.0,3771.0,0.0,0.0,0.0,0.0,17.97,2.88,2.53,2.88,2.53,19.0,7.0,9.0,35.0,1.0,2.0,0.0,17.0,6.0,3.0,0.63,0.83,1.42,0.0,1.0,0.0,35.0,26.0,26.0,0.35,0.83,0.77,2.46,2.46,2.39,1.31,0.12,0.12,0.12,0.12,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.11,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.02,0.0,0.0,0.14,0.14,0.14,5.1,0.65,94.0,11.0,0.24,0.0,2.0,0.0,2.0,0.0
8477407,2015,Anthony Duclair,ARI,L,other,81,1250.0,30.0,19.47,0.26,0.44,0.6,0.57,0.51,0.52,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,2.0,5.0,13.0,8.0,2.0,6.0,14.0,0.0,0.0,5947.0,0.0,2.0,1.0,1.0,13.91,2.16,2.15,2.16,2.15,10.0,11.0,16.0,37.0,3.0,0.0,0.0,16.0,3.0,2.0,0.56,0.46,1.13,2.0,0.0,1.0,37.0,21.0,21.0,0.3,0.0,0.0,2.45,2.45,2.44,13.04,6.19,6.14,6.19,6.14,11.0,9.0,5.0,25.0,6.0,0.0,0.0,6.0,3.0,11.0,0.34,0.37,5.48,0.0,1.0,5.0,25.0,20.0,20.0,0.23,0.0,0.0,6.41,6.41,6.35,10.1,13.03,137.0,102.0,0.02,0.0,1.0,0.0,1.0,0.0
8477407,2015,Anthony Duclair,ARI,L,all,81,69884.0,1598.0,42.27,0.58,0.43,0.57,0.44,0.56,0.43,604.0,115.9,16.91,9.65,23.48,4.16,60.35,41.46,15.68,16.88,15.65,13.0,11.0,105.0,51.0,29.0,185.0,44.0,20.0,13.0,4.0,24.0,6.0,40.0,53.0,85.0,136.0,23.0,49.0,0.0,27.0,26.0,18.0,82.0,54.0,20.0,3.23,6.42,7.26,3.0,9.0,8.0,184.51,156.0,156.11,5.0,2.22,2.95,5.0,14.13,14.12,13.85,1598.0,324.0,122.0,253.0,899.0,239.0,246.0,261.0,852.0,0.0,1.0,223889.0,49.0,56.0,25.0,27.0,663.66,59.84,56.7,59.87,56.73,643.0,297.0,325.0,1265.0,72.0,62.0,17.0,718.0,164.0,58.0,19.49,19.4,20.95,23.0,23.0,26.0,1259.79,940.0,937.47,11.01,12.84,12.84,58.01,58.0,56.42,520.5,43.84,42.95,44.0,43.1,506.0,220.0,213.0,939.0,39.0,29.0,5.0,554.0,135.0,37.0,15.27,15.97,12.61,13.0,16.0,10.0,947.87,726.0,731.35,6.97,6.12,6.7,44.1,44.27,43.81,137.52,180.73,3022.0,3814.0,0.0,0.0,0.0,0.0,0.0,0.0
8477407,2015,Anthony Duclair,ARI,L,5on5,81,55316.0,1331.0,42.27,0.51,0.45,0.5,0.46,0.49,0.45,603.0,80.01,9.02,5.92,16.94,2.75,40.24,31.13,8.87,9.0,8.85,10.0,9.0,70.0,36.0,22.0,128.0,31.0,12.0,6.0,0.0,16.0,5.0,25.0,42.0,58.0,94.0,18.0,39.0,0.0,23.0,22.0,16.0,64.0,33.0,9.0,2.64,4.12,2.26,3.0,7.0,2.0,127.51,106.0,106.11,4.0,1.25,1.31,1.23,9.05,9.03,8.94,1331.0,208.0,116.0,217.0,790.0,190.0,223.0,204.0,714.0,0.0,0.0,171263.0,39.0,52.0,23.0,26.0,452.03,34.83,34.16,34.86,34.2,438.0,199.0,213.0,850.0,48.0,32.0,9.0,506.0,102.0,29.0,14.04,12.35,8.45,17.0,18.0,13.0,844.79,637.0,634.47,6.02,6.36,6.36,34.49,34.48,34.13,470.12,34.0,33.27,34.16,33.42,452.0,202.0,204.0,858.0,28.0,24.0,3.0,512.0,120.0,22.0,14.07,13.92,6.01,12.0,12.0,4.0,866.87,654.0,659.35,6.31,5.02,5.6,34.71,34.87,34.48,89.45,108.68,2333.0,2786.0,1.33,0.94,32.0,37.0,26.0,29.0
8477407,2015,Anthony Duclair,ARI,L,4on5,81,13.0,3.0,1.73,0.0,0.13,0.0,0.05,0.0,0.07,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.08,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8477407,2015,Anthony Duclair,ARI,L,5on4,81,13305.0,234.0,41.82,0.87,0.87,0.88,0.88,0.85,0.85,338.0,35.88,7.88,3.73,6.53,1.41,20.12,10.33,6.81,7.88,6.81,2.0,2.0,35.0,15.0,5.0,55.0,12.0,8.0,7.0,4.0,8.0,1.0,15.0,11.0,27.0,42.0,5.0,10.0,0.0,4.0,3.0,2.0,18.0,21.0,11.0,0.59,2.3,4.99,0.0,2.0,6.0,55.0,50.0,50.0,1.0,0.96,1.64,3.76,5.08,5.08,4.9,234.0,106.0,4.0,31.0,93.0,41.0,20.0,51.0,122.0,0.0,0.0,14224.0,10.0,0.0,0.0,0.0,197.72,22.86,20.39,22.86,20.39,195.0,87.0,96.0,378.0,21.0,30.0,8.0,196.0,59.0,27.0,4.89,6.59,11.38,4.0,5.0,12.0,378.0,282.0,282.0,4.7,6.48,6.48,21.06,21.06,19.85,34.33,3.32,3.23,3.32,3.23,39.0,9.0,4.0,52.0,4.0,4.0,1.0,33.0,11.0,4.0,0.71,1.5,1.11,1.0,2.0,1.0,52.0,48.0,48.0,0.38,0.92,0.92,2.78,2.78,2.78,23.37,3.4,368.0,52.0,0.0,0.28,2.0,4.0,1.0,4.0
