playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477500,2014,Bo Horvat,VAN,C,other,68,1130.0,30.0,13.23,0.36,0.54,0.29,0.41,0.3,0.41,205.0,1.77,1.27,0.07,0.16,0.06,0.66,0.78,0.93,1.27,0.93,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,2.0,0.06,0.0,1.22,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.02,0.0,0.0,1.29,1.29,0.94,30.0,2.0,9.0,4.0,15.0,1.0,7.0,9.0,13.0,17.0,9.0,6120.0,0.0,0.0,0.0,0.0,7.7,2.31,1.95,2.31,1.95,10.0,1.0,3.0,14.0,2.0,0.0,0.0,7.0,0.0,4.0,0.28,0.0,2.02,0.0,0.0,2.0,14.0,11.0,11.0,0.12,0.0,0.05,2.37,2.37,2.02,18.01,4.19,4.09,4.19,4.09,18.0,8.0,9.0,35.0,5.0,1.0,0.0,18.0,1.0,7.0,0.6,0.2,3.38,1.0,0.0,4.0,35.0,26.0,26.0,0.35,0.3,0.3,4.23,4.23,4.12,14.65,12.72,96.0,136.0,0.07,0.0,2.0,0.0,1.0,0.0
8477500,2014,Bo Horvat,VAN,C,all,68,50036.0,1245.0,18.57,0.42,0.49,0.42,0.5,0.44,0.51,635.0,92.87,12.89,7.63,17.83,2.81,45.85,32.99,11.74,12.88,11.73,7.0,5.0,93.0,27.0,22.0,142.0,25.0,13.0,6.0,3.0,21.0,3.0,32.0,45.0,80.0,107.0,8.0,16.0,436.0,70.0,13.0,10.0,61.0,48.0,11.0,2.54,5.72,4.63,3.0,7.0,3.0,142.58,120.0,119.78,7.0,1.65,1.42,1.9,12.65,12.64,11.71,1245.0,170.0,204.0,195.0,676.0,194.0,196.0,189.0,666.0,436.0,412.0,197888.0,16.0,14.0,7.0,47.0,379.03,33.57,31.78,33.71,31.92,379.0,140.0,149.0,668.0,32.0,20.0,5.0,381.0,110.0,28.0,11.48,13.18,8.91,11.0,13.0,8.0,671.27,519.0,521.18,5.58,4.29,4.43,34.72,34.86,33.54,472.97,46.48,44.68,46.56,44.78,489.0,166.0,253.0,908.0,44.0,42.0,13.0,494.0,107.0,54.0,14.42,13.57,18.49,11.0,11.0,22.0,908.32,655.0,655.93,7.19,9.94,10.84,42.82,42.97,42.24,144.3,148.43,2976.0,2960.0,0.0,0.0,0.0,0.0,0.0,0.0
8477500,2014,Bo Horvat,VAN,C,5on5,68,45060.0,1083.0,18.57,0.45,0.47,0.45,0.5,0.47,0.51,562.0,83.59,9.99,6.95,16.51,2.54,42.4,29.61,9.62,9.98,9.62,6.0,4.0,82.0,26.0,20.0,128.0,22.0,12.0,6.0,3.0,19.0,2.0,29.0,40.0,70.0,96.0,8.0,16.0,377.0,69.0,13.0,10.0,54.0,47.0,7.0,2.32,5.63,2.04,3.0,7.0,2.0,128.58,108.0,107.78,7.0,1.46,1.42,1.84,9.61,9.6,9.47,1083.0,157.0,137.0,185.0,604.0,185.0,161.0,163.0,574.0,377.0,347.0,154263.0,16.0,14.0,7.0,44.0,348.21,28.6,27.6,28.74,27.75,343.0,135.0,141.0,619.0,28.0,19.0,5.0,352.0,105.0,21.0,10.73,12.58,5.28,11.0,12.0,5.0,622.27,478.0,480.18,4.98,4.23,4.32,29.26,29.4,28.88,396.67,34.87,33.5,34.96,33.6,409.0,139.0,215.0,763.0,35.0,35.0,13.0,417.0,95.0,36.0,12.39,12.14,10.34,10.0,11.0,14.0,763.32,548.0,548.93,5.56,8.16,8.44,31.99,32.14,31.71,86.5,95.78,2291.0,2257.0,0.83,1.68,25.0,30.0,17.0,26.0
8477500,2014,Bo Horvat,VAN,C,4on5,68,2785.0,92.0,18.26,0.05,0.13,0.06,0.16,0.07,0.18,278.0,1.55,0.07,0.04,0.26,0.04,0.44,1.13,0.07,0.07,0.07,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,29.0,1.0,0.0,0.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.01,0.0,0.0,0.08,0.08,0.08,92.0,1.0,54.0,3.0,34.0,4.0,23.0,10.0,55.0,29.0,10.0,13271.0,0.0,0.0,0.0,0.0,4.66,0.38,0.38,0.38,0.38,6.0,0.0,0.0,6.0,1.0,0.0,0.0,5.0,0.0,1.0,0.16,0.0,0.22,0.0,0.0,1.0,6.0,6.0,6.0,0.03,0.0,0.0,0.42,0.42,0.42,54.07,7.2,6.89,7.2,6.89,56.0,19.0,25.0,100.0,4.0,6.0,0.0,54.0,10.0,11.0,1.31,1.13,4.76,0.0,0.0,4.0,100.0,75.0,75.0,1.23,1.48,2.1,6.33,6.33,6.16,2.64,17.46,58.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0
8477500,2014,Bo Horvat,VAN,C,5on4,68,1061.0,40.0,10.2,0.98,0.94,0.84,0.9,0.88,0.88,182.0,5.96,1.56,0.56,0.9,0.17,2.34,1.46,1.11,1.56,1.11,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,7.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,1.0,2.0,0.1,0.08,1.38,0.0,0.0,0.0,8.0,7.0,7.0,0.0,0.16,0.0,0.06,1.67,1.67,1.22,40.0,10.0,4.0,3.0,23.0,4.0,5.0,7.0,24.0,10.0,21.0,7064.0,0.0,0.0,0.0,2.0,17.02,2.25,1.8,2.25,1.8,18.0,4.0,5.0,27.0,1.0,1.0,0.0,15.0,5.0,2.0,0.26,0.6,1.38,0.0,1.0,0.0,27.0,22.0,22.0,0.43,0.06,0.06,2.61,2.61,2.16,2.06,0.05,0.05,0.05,0.05,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.02,0.0,0.0,0.07,0.07,0.07,14.6,0.91,199.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8477500,2015,Bo Horvat,VAN,C,other,82,3528.0,76.0,26.53,0.35,0.51,0.4,0.52,0.38,0.5,232.0,6.95,1.09,0.75,1.01,0.22,3.97,1.98,0.84,1.09,0.84,3.0,2.0,8.0,1.0,3.0,12.0,7.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,6.0,7.0,0.0,0.0,47.0,1.0,0.0,1.0,5.0,2.0,2.0,0.25,0.21,0.63,0.0,1.0,1.0,12.0,9.0,9.0,1.0,0.26,1.55,0.0,1.34,1.34,1.06,76.0,21.0,20.0,12.0,23.0,8.0,7.0,20.0,41.0,47.0,40.0,6287.0,0.0,0.0,0.0,7.0,38.98,7.45,6.97,7.45,6.97,36.0,17.0,18.0,71.0,10.0,3.0,3.0,30.0,13.0,10.0,1.22,1.57,4.65,2.0,2.0,6.0,71.0,53.0,53.0,0.98,1.55,1.55,6.87,6.87,6.44,61.86,13.77,12.69,13.77,12.69,66.0,20.0,21.0,107.0,16.0,5.0,2.0,46.0,22.0,18.0,1.8,2.79,9.18,2.0,2.0,12.0,107.0,86.0,86.0,1.42,1.08,1.08,14.11,14.11,13.17,14.49,14.16,141.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
8477500,2015,Bo Horvat,VAN,C,all,82,84291.0,2014.0,32.0,0.4,0.47,0.43,0.49,0.42,0.49,315.0,147.35,16.83,11.72,29.2,4.6,77.4,58.25,16.27,16.91,16.36,13.0,11.0,155.0,43.0,47.0,245.0,40.0,16.0,9.0,3.0,23.0,4.0,64.0,82.0,139.0,182.0,9.0,18.0,760.0,69.0,27.0,17.0,119.0,64.0,15.0,4.43,8.25,4.15,4.0,6.0,6.0,244.25,198.0,198.33,7.0,2.66,3.0,1.77,17.72,17.78,17.29,2014.0,305.0,434.0,259.0,1016.0,259.0,224.0,332.0,1199.0,760.0,733.0,215970.0,18.0,32.0,16.0,53.0,595.22,54.12,52.58,54.41,52.86,609.0,212.0,294.0,1115.0,56.0,26.0,10.0,605.0,169.0,47.0,17.62,20.91,15.59,17.0,21.0,18.0,1113.8,821.0,822.68,9.31,6.68,7.24,56.19,56.38,55.3,810.19,82.5,78.74,82.91,79.13,853.0,286.0,324.0,1463.0,94.0,59.0,9.0,816.0,242.0,81.0,24.96,28.15,29.39,34.0,27.0,33.0,1472.28,1139.0,1145.49,13.63,11.7,12.55,83.58,83.98,81.23,139.57,159.98,3103.0,3202.0,0.0,0.0,0.0,0.0,0.0,0.0
8477500,2015,Bo Horvat,VAN,C,5on5,82,61986.0,1491.0,32.0,0.44,0.44,0.46,0.48,0.45,0.47,460.0,107.2,11.18,8.0,22.47,3.23,56.74,42.39,11.02,11.26,11.1,6.0,8.0,112.0,32.0,38.0,182.0,24.0,10.0,4.0,1.0,18.0,4.0,49.0,59.0,102.0,134.0,6.0,12.0,541.0,56.0,22.0,12.0,92.0,46.0,6.0,3.67,6.0,1.51,4.0,3.0,3.0,181.25,144.0,144.33,5.0,1.67,0.83,1.15,11.7,11.75,11.63,1491.0,215.0,241.0,215.0,820.0,225.0,161.0,248.0,857.0,541.0,488.0,179921.0,12.0,28.0,14.0,32.0,447.4,35.94,35.23,36.23,35.52,467.0,150.0,218.0,835.0,35.0,19.0,5.0,470.0,121.0,26.0,14.01,15.12,6.81,14.0,12.0,9.0,833.8,617.0,618.68,6.04,3.98,4.54,37.43,37.62,37.22,545.84,45.88,44.41,46.29,44.8,562.0,207.0,218.0,987.0,56.0,35.0,6.0,577.0,153.0,39.0,17.59,17.71,10.58,25.0,20.0,11.0,996.28,769.0,775.49,7.57,7.41,7.45,46.01,46.41,45.62,94.16,119.37,2438.0,2674.0,1.07,3.25,28.0,66.0,24.0,53.0
8477500,2015,Bo Horvat,VAN,C,4on5,82,10341.0,261.0,31.67,0.09,0.18,0.07,0.15,0.07,0.16,145.0,9.4,1.34,0.53,1.14,0.26,2.73,6.0,1.34,1.34,1.34,0.0,0.0,11.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,11.0,12.0,1.0,2.0,96.0,5.0,5.0,2.0,5.0,4.0,3.0,0.09,0.56,0.69,0.0,0.0,0.0,13.0,12.0,12.0,1.0,0.12,0.0,0.0,1.46,1.46,1.46,261.0,4.0,163.0,17.0,77.0,3.0,45.0,29.0,184.0,96.0,43.0,13240.0,2.0,2.0,1.0,1.0,14.61,1.88,1.88,1.88,1.88,16.0,3.0,4.0,23.0,1.0,0.0,0.0,9.0,7.0,3.0,0.18,1.0,0.69,1.0,0.0,0.0,23.0,19.0,19.0,0.2,0.0,0.0,2.07,2.07,2.07,171.94,20.19,19.0,20.19,19.0,194.0,47.0,74.0,315.0,17.0,19.0,1.0,162.0,57.0,22.0,4.53,6.56,9.1,4.0,3.0,10.0,315.0,241.0,241.0,4.18,3.21,4.03,20.35,20.35,19.35,3.78,17.52,48.0,279.0,0.2,0.01,1.0,2.0,1.0,1.0
8477500,2015,Bo Horvat,VAN,C,5on4,82,8436.0,186.0,27.91,0.84,0.84,0.85,0.87,0.83,0.86,395.0,22.4,3.17,2.38,4.23,0.85,13.31,7.07,3.02,3.17,3.02,4.0,1.0,23.0,8.0,3.0,34.0,9.0,4.0,2.0,2.0,4.0,0.0,11.0,10.0,19.0,27.0,2.0,4.0,65.0,6.0,0.0,2.0,15.0,12.0,4.0,0.35,1.49,1.32,0.0,2.0,2.0,34.0,31.0,31.0,0.0,0.59,0.62,0.62,3.14,3.14,3.05,186.0,65.0,10.0,15.0,96.0,23.0,11.0,35.0,117.0,65.0,139.0,15225.0,4.0,2.0,1.0,10.0,86.78,8.06,7.73,8.06,7.73,82.0,40.0,49.0,171.0,10.0,4.0,2.0,89.0,26.0,7.0,1.86,2.99,3.21,0.0,7.0,3.0,171.0,122.0,122.0,1.97,1.15,1.15,8.88,8.88,8.65,17.32,1.5,1.5,1.5,1.5,17.0,8.0,6.0,31.0,3.0,0.0,0.0,19.0,5.0,1.0,0.57,0.61,0.32,2.0,1.0,0.0,31.0,25.0,25.0,0.18,0.0,0.0,1.67,1.67,1.67,23.33,4.41,424.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
