playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475314,2012,Anders Lee,NYI,L,other,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2012,Anders Lee,NYI,L,all,2,984.0,25.0,1.23,0.24,0.71,0.5,0.56,0.43,0.61,24.0,2.23,0.13,0.18,0.5,0.06,1.25,0.88,0.12,0.12,0.12,1.0,0.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.03,0.1,0.0,1.0,0.0,0.0,4.05,3.0,3.05,0.0,0.04,0.0,0.0,0.16,0.16,0.15,25.0,3.0,2.0,5.0,15.0,0.0,1.0,5.0,19.0,0.0,2.0,6216.0,0.0,0.0,0.0,2.0,4.1,0.36,0.36,0.35,0.35,3.0,3.0,7.0,13.0,1.0,0.0,0.0,3.0,3.0,0.0,0.05,0.31,0.0,1.0,0.0,0.0,13.06,6.0,6.03,0.07,0.0,0.0,0.43,0.42,0.41,6.68,1.16,1.1,1.21,1.15,8.0,0.0,5.0,13.0,4.0,2.0,2.0,3.0,3.0,2.0,0.2,0.38,0.58,1.0,1.0,2.0,13.14,8.0,8.18,0.14,0.58,0.58,0.72,0.75,0.75,8.0,3.19,119.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2012,Anders Lee,NYI,L,5on5,2,984.0,25.0,1.23,0.24,0.64,0.5,0.55,0.43,0.61,24.0,2.23,0.13,0.18,0.5,0.06,1.25,0.88,0.12,0.12,0.12,1.0,0.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.03,0.1,0.0,1.0,0.0,0.0,4.05,3.0,3.05,0.0,0.04,0.0,0.0,0.16,0.16,0.15,25.0,3.0,2.0,5.0,15.0,0.0,1.0,5.0,19.0,0.0,2.0,5288.0,0.0,0.0,0.0,2.0,4.1,0.36,0.36,0.35,0.35,3.0,3.0,7.0,13.0,1.0,0.0,0.0,3.0,3.0,0.0,0.05,0.31,0.0,1.0,0.0,0.0,13.06,6.0,6.03,0.07,0.0,0.0,0.43,0.42,0.41,6.68,1.16,1.1,1.21,1.15,8.0,0.0,5.0,13.0,4.0,2.0,2.0,3.0,3.0,2.0,0.2,0.38,0.58,1.0,1.0,2.0,13.14,8.0,8.18,0.14,0.58,0.58,0.72,0.75,0.75,4.78,2.65,101.0,82.0,0.02,0.03,2.0,1.0,1.0,1.0
8475314,2012,Anders Lee,NYI,L,4on5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2012,Anders Lee,NYI,L,5on4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2013,Anders Lee,NYI,L,other,22,584.0,11.0,16.01,0.62,0.63,0.73,0.38,0.72,0.43,98.0,3.7,0.56,0.23,0.71,0.12,2.02,1.36,0.54,0.56,0.54,0.0,1.0,4.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.04,0.32,0.2,0.0,1.0,0.0,5.0,5.0,5.0,0.0,0.07,0.0,0.15,0.47,0.47,0.47,11.0,4.0,1.0,2.0,4.0,1.0,3.0,2.0,5.0,0.0,0.0,1864.0,0.0,2.0,1.0,0.0,14.84,2.65,2.48,2.65,2.48,18.0,3.0,9.0,30.0,3.0,2.0,0.0,11.0,6.0,4.0,0.32,0.73,1.6,1.0,1.0,1.0,30.0,21.0,21.0,0.35,0.36,0.36,2.65,2.65,2.53,5.4,1.64,1.64,1.64,1.64,2.0,6.0,3.0,11.0,1.0,0.0,0.0,5.0,1.0,2.0,0.2,0.12,1.31,0.0,0.0,1.0,11.0,8.0,8.0,0.07,0.0,0.0,1.71,1.71,1.71,4.62,2.75,46.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2013,Anders Lee,NYI,L,all,22,20754.0,464.0,17.11,0.66,0.47,0.61,0.46,0.61,0.47,136.0,66.6,8.32,5.14,14.48,2.29,34.86,23.9,8.04,8.31,8.03,2.0,3.0,68.0,21.0,10.0,99.0,14.0,9.0,8.0,3.0,11.0,4.0,29.0,28.0,59.0,80.0,7.0,14.0,1.0,48.0,9.0,8.0,49.0,30.0,10.0,1.59,3.43,3.3,2.0,3.0,4.0,98.46,89.0,88.35,2.0,1.18,2.35,2.55,6.95,6.88,6.72,464.0,90.0,48.0,83.0,243.0,58.0,61.0,64.0,281.0,1.0,5.0,60443.0,14.0,6.0,3.0,2.0,208.91,21.37,20.45,21.43,20.49,208.0,79.0,97.0,384.0,20.0,20.0,6.0,199.0,65.0,23.0,5.23,7.73,8.41,6.0,7.0,7.0,384.52,287.0,287.59,3.36,4.9,4.76,19.97,19.97,19.51,126.62,10.99,10.8,10.95,10.76,125.0,56.0,65.0,246.0,12.0,6.0,2.0,139.0,37.0,5.0,4.27,4.59,2.13,4.0,6.0,2.0,246.88,181.0,180.73,1.67,1.2,1.2,11.46,11.44,11.32,45.33,51.46,875.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2013,Anders Lee,NYI,L,5on5,22,16792.0,395.0,17.11,0.6,0.51,0.55,0.49,0.56,0.5,133.0,49.93,5.75,3.56,11.43,1.7,25.22,18.34,5.57,5.74,5.55,2.0,2.0,50.0,16.0,9.0,75.0,10.0,6.0,7.0,2.0,10.0,3.0,21.0,19.0,44.0,60.0,7.0,14.0,0.0,43.0,9.0,6.0,38.0,20.0,8.0,1.33,2.22,2.21,2.0,1.0,3.0,74.46,66.0,65.35,2.0,0.75,1.46,1.46,5.04,4.97,4.91,395.0,51.0,44.0,72.0,228.0,52.0,55.0,48.0,240.0,0.0,4.0,47633.0,14.0,4.0,2.0,2.0,151.77,12.98,12.37,13.04,12.42,149.0,58.0,64.0,271.0,13.0,16.0,5.0,149.0,44.0,14.0,4.06,5.24,3.68,5.0,4.0,4.0,271.52,207.0,207.59,2.04,3.16,2.98,12.04,12.04,11.82,114.77,8.73,8.54,8.69,8.51,119.0,45.0,61.0,225.0,10.0,6.0,2.0,128.0,33.0,3.0,3.85,4.06,0.82,4.0,5.0,1.0,225.88,164.0,163.73,1.52,1.2,1.2,9.05,9.04,8.92,30.24,29.52,681.0,707.0,0.86,0.18,16.0,10.0,13.0,8.0
8475314,2013,Anders Lee,NYI,L,4on5,22,14.0,3.0,4.11,0.0,0.2,0.0,0.19,0.0,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.83,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2013,Anders Lee,NYI,L,5on4,22,3364.0,55.0,15.08,0.9,0.94,0.89,0.9,0.87,0.88,73.0,12.97,2.01,1.36,2.35,0.46,7.62,4.2,1.93,2.01,1.93,0.0,0.0,14.0,4.0,1.0,19.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,7.0,12.0,16.0,0.0,0.0,0.0,4.0,0.0,2.0,9.0,8.0,1.0,0.23,0.89,0.89,0.0,1.0,1.0,19.0,18.0,18.0,0.0,0.36,0.89,0.94,1.44,1.44,1.34,55.0,35.0,2.0,8.0,10.0,5.0,3.0,13.0,34.0,0.0,1.0,3074.0,0.0,0.0,0.0,0.0,42.3,5.74,5.6,5.74,5.6,41.0,18.0,24.0,83.0,4.0,2.0,1.0,39.0,15.0,5.0,0.85,1.76,3.13,0.0,2.0,2.0,83.0,59.0,59.0,0.97,1.38,1.43,5.28,5.28,5.15,6.45,0.62,0.62,0.62,0.62,4.0,5.0,1.0,10.0,1.0,0.0,0.0,6.0,3.0,0.0,0.21,0.41,0.0,0.0,1.0,0.0,10.0,9.0,9.0,0.08,0.0,0.0,0.69,0.69,0.69,6.73,0.42,98.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0
