playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476419,2012,Jean-Gabriel Pageau,OTT,C,other,9,226.0,4.0,3.18,0.94,0.69,0.63,0.65,0.6,0.65,27.0,0.8,0.09,0.04,0.12,0.03,0.36,0.36,0.09,0.09,0.09,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.01,0.0,0.0,0.1,0.1,0.1,4.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,676.0,0.0,0.0,0.0,1.0,2.38,1.07,1.07,1.07,1.07,2.0,1.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.05,0.09,0.94,0.0,0.0,1.0,5.0,3.0,3.0,0.03,0.0,0.0,1.1,1.1,1.1,1.48,0.07,0.07,0.07,0.07,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.03,0.0,0.0,0.1,0.1,0.09,1.91,0.86,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8476419,2012,Jean-Gabriel Pageau,OTT,C,all,9,6208.0,154.0,6.13,0.63,0.56,0.56,0.57,0.54,0.56,88.0,12.45,1.29,0.96,2.42,0.38,6.74,5.21,1.27,1.3,1.28,2.0,0.0,14.0,3.0,7.0,24.0,4.0,2.0,0.0,0.0,3.0,0.0,4.0,8.0,12.0,15.0,0.0,0.0,40.0,11.0,1.0,2.0,8.0,9.0,0.0,0.27,1.02,0.0,1.0,1.0,0.0,24.66,17.0,17.45,1.0,0.2,0.0,0.17,1.33,1.34,1.33,154.0,18.0,29.0,20.0,87.0,34.0,18.0,25.0,77.0,40.0,42.0,26239.0,0.0,2.0,1.0,3.0,57.07,6.26,6.04,6.25,6.04,61.0,15.0,27.0,103.0,5.0,6.0,1.0,50.0,18.0,8.0,1.28,2.24,2.75,1.0,1.0,3.0,103.52,76.0,76.28,0.82,1.4,1.4,5.68,5.74,5.66,45.18,3.67,3.53,3.67,3.53,45.0,19.0,16.0,80.0,3.0,2.0,0.0,48.0,12.0,4.0,1.16,1.42,1.09,0.0,1.0,2.0,79.38,64.0,63.88,0.73,0.51,0.51,3.88,3.88,3.79,20.35,15.76,456.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0
8476419,2012,Jean-Gabriel Pageau,OTT,C,5on5,9,5488.0,133.0,6.13,0.64,0.55,0.6,0.56,0.59,0.56,85.0,11.65,1.2,0.92,2.3,0.35,6.38,4.85,1.19,1.21,1.19,1.0,0.0,13.0,3.0,5.0,21.0,3.0,2.0,0.0,0.0,3.0,0.0,4.0,7.0,11.0,14.0,0.0,0.0,34.0,10.0,1.0,2.0,8.0,8.0,0.0,0.27,0.94,0.0,1.0,1.0,0.0,21.66,16.0,16.45,1.0,0.19,0.0,0.17,1.23,1.25,1.23,133.0,18.0,17.0,20.0,78.0,31.0,16.0,22.0,64.0,34.0,36.0,19800.0,0.0,2.0,1.0,1.0,54.69,5.19,4.97,5.18,4.96,59.0,14.0,24.0,97.0,4.0,6.0,1.0,49.0,17.0,7.0,1.23,2.15,1.81,1.0,1.0,2.0,97.52,73.0,73.28,0.79,1.4,1.4,4.58,4.63,4.56,35.99,2.96,2.87,2.96,2.87,35.0,16.0,14.0,65.0,2.0,2.0,0.0,38.0,9.0,4.0,0.91,0.96,1.09,0.0,0.0,2.0,64.38,51.0,50.88,0.51,0.51,0.51,2.95,2.95,2.93,13.54,10.87,334.0,265.0,0.22,0.0,5.0,1.0,4.0,0.0
8476419,2012,Jean-Gabriel Pageau,OTT,C,4on5,9,447.0,14.0,6.13,0.0,0.08,0.08,0.11,0.0,0.13,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,10.0,0.0,4.0,1.0,1.0,2.0,10.0,5.0,0.0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.64,0.59,0.64,0.59,8.0,3.0,1.0,12.0,1.0,0.0,0.0,8.0,3.0,0.0,0.18,0.46,0.0,0.0,1.0,0.0,12.0,11.0,11.0,0.19,0.0,0.0,0.83,0.83,0.77,0.26,3.03,6.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8476419,2012,Jean-Gabriel Pageau,OTT,C,5on4,9,47.0,3.0,4.04,0.0,0.82,0.0,0.83,0.0,0.76,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.24,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8476419,2013,Jean-Gabriel Pageau,OTT,C,other,28,729.0,17.0,2.13,0.56,0.4,0.34,0.29,0.36,0.29,57.0,2.58,0.65,0.15,0.39,0.1,1.2,1.5,0.65,0.65,0.65,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,1.0,1.0,0.15,0.15,0.35,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.04,0.0,0.0,0.69,0.69,0.69,17.0,4.0,5.0,2.0,6.0,1.0,2.0,2.0,12.0,5.0,10.0,1948.0,0.0,0.0,0.0,1.0,5.46,1.4,1.38,1.4,1.38,4.0,5.0,3.0,12.0,0.0,0.0,0.0,5.0,2.0,2.0,0.27,0.31,0.82,0.0,0.0,0.0,12.0,9.0,9.0,0.1,0.0,0.0,1.5,1.5,1.48,11.09,1.08,0.95,1.08,0.95,11.0,5.0,7.0,23.0,0.0,0.0,0.0,12.0,2.0,2.0,0.31,0.19,0.58,0.0,0.0,0.0,23.0,16.0,16.0,0.23,0.0,0.0,1.31,1.31,1.15,4.71,7.16,37.0,89.0,0.03,0.01,1.0,1.0,1.0,1.0
8476419,2013,Jean-Gabriel Pageau,OTT,C,all,28,17217.0,455.0,4.13,0.44,0.48,0.46,0.51,0.44,0.5,290.0,36.85,4.07,2.15,8.53,1.18,17.79,15.29,4.0,4.11,4.04,0.0,0.0,31.0,18.0,9.0,58.0,2.0,2.0,2.0,0.0,6.0,3.0,14.0,22.0,29.0,47.0,6.0,12.0,118.0,41.0,8.0,11.0,30.0,14.0,5.0,0.9,1.68,1.49,0.0,2.0,0.0,57.6,49.0,48.92,8.0,0.46,0.58,0.93,3.59,3.63,3.61,455.0,55.0,68.0,65.0,267.0,78.0,77.0,60.0,240.0,118.0,128.0,85419.0,12.0,12.0,6.0,12.0,132.43,10.67,10.25,10.72,10.29,128.0,55.0,59.0,242.0,4.0,11.0,1.0,142.0,28.0,13.0,3.4,3.24,4.03,0.0,3.0,1.0,241.88,183.0,182.68,1.59,2.83,2.83,9.44,9.47,9.34,165.46,13.67,13.26,13.66,13.25,156.0,74.0,59.0,289.0,14.0,14.0,2.0,181.0,36.0,13.0,4.72,4.37,4.58,6.0,6.0,2.0,289.51,230.0,230.08,2.46,2.23,2.23,13.9,13.9,13.56,63.16,68.78,1478.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
8476419,2013,Jean-Gabriel Pageau,OTT,C,5on5,28,13968.0,361.0,4.13,0.51,0.48,0.51,0.53,0.49,0.51,287.0,31.9,3.09,1.83,7.85,1.01,15.91,12.3,3.01,3.12,3.05,0.0,0.0,27.0,15.0,9.0,51.0,2.0,2.0,2.0,0.0,5.0,2.0,11.0,20.0,25.0,40.0,5.0,10.0,99.0,34.0,5.0,9.0,27.0,11.0,4.0,0.68,1.27,1.14,0.0,2.0,0.0,50.6,42.0,41.92,6.0,0.38,0.58,0.93,2.53,2.57,2.55,361.0,47.0,31.0,55.0,228.0,74.0,60.0,49.0,178.0,99.0,85.0,66391.0,10.0,12.0,6.0,5.0,117.19,8.38,7.97,8.43,8.02,114.0,47.0,55.0,216.0,4.0,10.0,1.0,127.0,24.0,10.0,2.84,2.67,2.86,0.0,3.0,1.0,215.88,161.0,160.68,1.4,2.48,2.48,7.3,7.34,7.23,119.86,8.11,7.95,8.1,7.94,113.0,52.0,40.0,205.0,9.0,11.0,2.0,130.0,30.0,5.0,3.2,3.72,1.19,3.0,6.0,0.0,205.51,165.0,165.08,1.52,1.36,1.36,8.26,8.26,8.16,41.42,45.18,1155.0,1040.0,0.54,0.41,12.0,11.0,10.0,11.0
8476419,2013,Jean-Gabriel Pageau,OTT,C,4on5,28,2512.0,76.0,4.26,0.16,0.11,0.18,0.15,0.2,0.14,120.0,2.37,0.33,0.16,0.28,0.07,0.68,1.48,0.33,0.33,0.33,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,14.0,5.0,2.0,2.0,1.0,2.0,0.0,0.07,0.26,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.04,0.0,0.0,0.36,0.36,0.36,76.0,4.0,32.0,8.0,32.0,3.0,15.0,8.0,50.0,14.0,0.0,7478.0,2.0,0.0,0.0,0.0,9.12,0.87,0.86,0.87,0.86,10.0,2.0,1.0,13.0,0.0,1.0,0.0,9.0,2.0,1.0,0.26,0.26,0.35,0.0,0.0,0.0,13.0,12.0,12.0,0.09,0.35,0.35,0.6,0.6,0.6,33.8,4.43,4.31,4.43,4.31,32.0,16.0,12.0,60.0,5.0,3.0,0.0,38.0,4.0,6.0,1.17,0.46,2.8,3.0,0.0,2.0,60.0,48.0,48.0,0.71,0.86,0.86,4.28,4.28,4.2,1.42,11.13,33.0,191.0,0.0,0.0,1.0,1.0,0.0,1.0
8476419,2013,Jean-Gabriel Pageau,OTT,C,5on4,28,8.0,1.0,0.67,0.0,0.85,0.0,0.86,0.0,0.83,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.12,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
