playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476917,2015,Adam Pelech,NYI,D,other,9,439.0,8.0,0.25,0.71,0.33,0.5,0.29,0.63,0.32,22.0,0.76,0.03,0.03,0.17,0.02,0.35,0.4,0.03,0.03,0.03,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.04,0.04,0.04,8.0,0.0,3.0,1.0,4.0,0.0,2.0,1.0,5.0,0.0,0.0,837.0,0.0,0.0,0.0,2.0,3.74,1.55,1.55,1.55,1.55,5.0,0.0,3.0,8.0,3.0,0.0,0.0,2.0,1.0,2.0,0.08,0.19,1.28,0.0,1.0,2.0,8.0,5.0,5.0,0.04,0.0,0.0,1.59,1.59,1.59,2.23,0.63,0.62,0.63,0.62,2.0,1.0,5.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.05,0.13,0.44,0.0,0.0,1.0,8.0,3.0,3.0,0.07,0.0,0.0,0.69,0.69,0.69,1.05,2.08,10.0,24.0,0.06,0.0,1.0,0.0,1.0,0.0
8476917,2015,Adam Pelech,NYI,D,all,9,9493.0,190.0,0.5,0.41,0.54,0.39,0.5,0.4,0.51,39.0,7.05,0.19,0.35,1.75,0.21,3.91,3.59,0.18,0.19,0.19,2.0,0.0,8.0,2.0,8.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,10.0,0.0,0.0,0.0,16.0,1.0,7.0,10.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,17.41,10.0,9.95,6.0,0.07,0.0,0.0,0.26,0.26,0.26,190.0,12.0,23.0,20.0,135.0,12.0,25.0,16.0,137.0,0.0,0.0,23073.0,0.0,0.0,0.0,16.0,53.71,5.28,5.2,5.27,5.19,55.0,21.0,31.0,107.0,7.0,2.0,0.0,57.0,15.0,4.0,1.73,1.77,1.78,1.0,4.0,2.0,106.78,76.0,76.45,0.77,0.5,0.5,5.55,5.54,5.47,81.31,7.6,7.28,7.74,7.42,83.0,30.0,52.0,165.0,10.0,1.0,0.0,87.0,19.0,7.0,2.66,2.15,2.79,4.0,3.0,3.0,168.13,113.0,115.21,1.23,0.04,0.04,8.79,8.95,8.58,21.89,18.52,382.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0
8476917,2015,Adam Pelech,NYI,D,5on5,9,7827.0,152.0,0.5,0.42,0.57,0.42,0.49,0.42,0.49,43.0,4.77,0.13,0.26,1.4,0.15,2.91,2.16,0.12,0.13,0.13,0.0,0.0,5.0,2.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,7.0,0.0,0.0,0.0,15.0,0.0,7.0,7.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,14.41,7.0,6.95,6.0,0.05,0.0,0.0,0.18,0.18,0.17,152.0,10.0,15.0,18.0,109.0,9.0,20.0,11.0,112.0,0.0,0.0,17449.0,0.0,0.0,0.0,11.0,45.98,3.19,3.14,3.19,3.13,45.0,21.0,25.0,91.0,3.0,1.0,0.0,52.0,13.0,1.0,1.56,1.43,0.2,1.0,2.0,0.0,90.78,66.0,66.45,0.64,0.2,0.2,3.63,3.62,3.55,65.71,4.4,4.32,4.54,4.46,67.0,23.0,35.0,125.0,7.0,1.0,0.0,71.0,18.0,1.0,2.17,2.02,0.21,4.0,3.0,0.0,128.13,90.0,92.21,0.88,0.04,0.04,5.24,5.4,5.3,13.23,9.84,268.0,280.0,0.97,0.0,17.0,1.0,11.0,0.0
8476917,2015,Adam Pelech,NYI,D,4on5,9,1004.0,19.0,0.25,0.06,0.09,0.12,0.06,0.1,0.08,21.0,0.8,0.01,0.01,0.03,0.02,0.16,0.78,0.01,0.01,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,19.0,0.0,5.0,1.0,13.0,2.0,2.0,3.0,12.0,0.0,0.0,1270.0,0.0,0.0,0.0,0.0,1.59,0.15,0.15,0.15,0.15,2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.01,0.14,0.0,0.0,1.0,0.0,4.0,2.0,2.0,0.01,0.0,0.0,0.16,0.16,0.16,11.91,2.5,2.26,2.5,2.26,12.0,6.0,11.0,29.0,2.0,0.0,0.0,13.0,0.0,5.0,0.37,0.0,2.14,0.0,0.0,2.0,29.0,18.0,18.0,0.27,0.0,0.0,2.77,2.77,2.52,0.34,3.42,3.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0
8476917,2015,Adam Pelech,NYI,D,5on4,9,223.0,11.0,-0.78,0.84,0.96,0.57,0.94,0.6,0.94,29.0,0.73,0.03,0.06,0.15,0.02,0.5,0.24,0.03,0.03,0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.04,0.04,0.04,11.0,2.0,0.0,0.0,9.0,1.0,1.0,1.0,8.0,0.0,0.0,2327.0,0.0,0.0,0.0,2.0,2.4,0.39,0.37,0.39,0.37,3.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.09,0.0,0.29,0.0,0.0,0.0,4.0,3.0,3.0,0.07,0.29,0.29,0.17,0.17,0.16,1.46,0.07,0.07,0.07,0.07,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.01,0.0,0.0,0.08,0.08,0.08,6.53,0.25,74.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8476917,2016,Adam Pelech,NYI,D,other,44,626.0,12.0,2.7,0.7,0.71,0.33,0.59,0.36,0.61,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,9.0,0.0,0.0,1659.0,0.0,0.0,0.0,2.0,3.4,1.18,1.18,1.18,1.18,2.0,3.0,2.0,7.0,1.0,0.0,0.0,1.0,2.0,2.0,0.01,0.28,0.89,0.0,0.0,1.0,7.0,5.0,5.0,0.04,0.0,0.0,1.22,1.22,1.22,6.5,0.51,0.51,0.51,0.51,7.0,2.0,5.0,14.0,0.0,0.0,0.0,6.0,3.0,0.0,0.23,0.28,0.0,0.0,0.0,0.0,14.0,9.0,9.0,0.13,0.0,0.0,0.64,0.64,0.63,5.23,2.13,47.0,32.0,0.03,0.0,1.0,0.0,1.0,0.0
8476917,2016,Adam Pelech,NYI,D,all,44,44442.0,868.0,8.25,0.42,0.52,0.44,0.5,0.43,0.5,220.0,39.23,1.23,1.92,9.77,1.28,21.12,21.67,1.21,1.27,1.26,1.0,6.0,40.0,17.0,32.0,89.0,10.0,3.0,2.0,0.0,10.0,0.0,14.0,28.0,37.0,54.0,3.0,6.0,0.0,73.0,17.0,28.0,56.0,1.0,0.0,1.05,0.18,0.0,2.0,1.0,0.0,88.31,57.0,57.44,24.0,0.38,0.25,0.0,1.61,1.66,1.63,868.0,59.0,79.0,125.0,605.0,102.0,101.0,94.0,571.0,0.0,0.0,116134.0,6.0,12.0,6.0,68.0,302.48,23.98,23.5,24.08,23.61,316.0,103.0,165.0,584.0,27.0,13.0,3.0,336.0,64.0,19.0,9.65,8.08,6.24,16.0,6.0,5.0,584.85,419.0,420.98,3.76,3.2,3.37,24.37,24.43,24.16,391.96,32.81,31.49,32.82,31.48,390.0,158.0,181.0,729.0,34.0,33.0,7.0,421.0,98.0,29.0,12.65,11.93,8.23,13.0,12.0,9.0,725.17,548.0,544.37,5.58,7.09,7.09,31.3,31.22,30.59,96.88,87.7,1889.0,1903.0,0.0,0.0,0.0,0.0,0.0,0.0
8476917,2016,Adam Pelech,NYI,D,5on5,44,41229.0,788.0,8.25,0.43,0.5,0.47,0.48,0.45,0.49,185.0,38.45,1.21,1.9,9.62,1.26,20.85,21.16,1.19,1.25,1.23,1.0,6.0,39.0,17.0,32.0,88.0,10.0,3.0,2.0,0.0,10.0,0.0,14.0,27.0,36.0,53.0,3.0,6.0,0.0,71.0,17.0,26.0,55.0,1.0,0.0,1.03,0.18,0.0,2.0,1.0,0.0,87.31,56.0,56.44,23.0,0.38,0.25,0.0,1.59,1.63,1.6,788.0,56.0,65.0,121.0,546.0,97.0,91.0,85.0,515.0,0.0,0.0,91807.0,6.0,12.0,6.0,53.0,292.24,22.1,21.62,22.2,21.73,306.0,99.0,162.0,567.0,26.0,13.0,3.0,329.0,60.0,16.0,9.44,7.63,5.03,16.0,6.0,4.0,567.85,405.0,406.98,3.62,3.2,3.37,22.35,22.41,22.15,353.98,29.46,28.3,29.47,28.3,353.0,141.0,152.0,646.0,32.0,31.0,7.0,381.0,88.0,25.0,11.58,10.82,7.05,13.0,12.0,7.0,642.17,494.0,490.37,4.82,6.52,6.52,27.75,27.67,27.2,62.01,62.09,1411.0,1505.0,2.04,0.28,55.0,10.0,45.0,8.0
8476917,2016,Adam Pelech,NYI,D,4on5,44,2498.0,60.0,7.57,0.19,0.19,0.09,0.11,0.13,0.13,132.0,0.79,0.02,0.02,0.15,0.02,0.27,0.51,0.02,0.02,0.02,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.03,0.03,0.03,60.0,0.0,12.0,2.0,46.0,4.0,9.0,6.0,41.0,0.0,0.0,7531.0,0.0,0.0,0.0,0.0,5.49,0.65,0.64,0.65,0.64,7.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,2.0,1.0,0.14,0.18,0.33,0.0,0.0,0.0,7.0,7.0,7.0,0.07,0.0,0.0,0.71,0.71,0.71,31.48,2.83,2.68,2.83,2.68,30.0,15.0,24.0,69.0,2.0,2.0,0.0,34.0,7.0,4.0,0.83,0.83,1.17,0.0,0.0,2.0,69.0,45.0,45.0,0.63,0.56,0.56,2.9,2.9,2.75,2.02,8.7,25.0,201.0,0.13,0.01,2.0,1.0,2.0,1.0
8476917,2016,Adam Pelech,NYI,D,5on4,44,89.0,8.0,0.7,1.0,0.9,1.0,0.93,1.0,0.94,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,2864.0,0.0,0.0,0.0,2.0,1.36,0.06,0.06,0.06,0.06,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.03,0.0,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.44,77.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
