playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477506,2015,Ryan Pulock,NYI,D,other,15,440.0,9.0,2.58,0.48,0.45,0.76,0.59,0.73,0.44,29.0,0.65,0.04,0.06,0.12,0.02,0.51,0.24,0.04,0.04,0.04,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.02,0.0,0.0,0.07,0.07,0.07,9.0,2.0,0.0,1.0,6.0,2.0,0.0,0.0,7.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,5.33,0.56,0.53,0.56,0.53,5.0,3.0,5.0,13.0,0.0,0.0,0.0,4.0,4.0,0.0,0.17,0.4,0.0,0.0,0.0,0.0,13.0,8.0,8.0,0.15,0.0,0.0,0.72,0.72,0.68,1.89,0.61,0.61,0.61,0.61,1.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.02,0.1,0.49,0.0,0.0,1.0,4.0,3.0,3.0,0.03,0.0,0.0,0.64,0.64,0.64,1.68,2.04,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2015,Ryan Pulock,NYI,D,all,15,14156.0,299.0,5.28,0.5,0.42,0.52,0.44,0.52,0.45,77.0,17.89,0.53,1.14,4.41,0.57,11.79,9.57,0.52,0.52,0.52,1.0,1.0,15.0,13.0,13.0,41.0,4.0,2.0,0.0,0.0,2.0,0.0,10.0,14.0,13.0,26.0,1.0,5.0,0.0,13.0,3.0,5.0,27.0,1.0,0.0,0.44,0.09,0.0,1.0,1.0,0.0,41.05,28.0,27.89,4.0,0.25,0.0,0.0,0.78,0.77,0.76,299.0,27.0,23.0,26.0,223.0,24.0,34.0,41.0,200.0,0.0,0.0,40583.0,5.0,7.0,2.0,11.0,111.04,8.59,8.45,8.72,8.57,104.0,56.0,57.0,217.0,13.0,4.0,0.0,124.0,31.0,5.0,3.25,3.66,1.68,3.0,8.0,2.0,218.26,160.0,160.7,1.62,0.89,0.92,9.29,9.42,9.31,106.02,8.44,8.31,8.4,8.28,106.0,41.0,52.0,199.0,12.0,2.0,1.0,114.0,28.0,5.0,3.46,3.46,1.51,7.0,3.0,2.0,199.33,147.0,148.11,1.51,0.54,0.74,9.2,9.18,9.09,23.57,32.45,541.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2015,Ryan Pulock,NYI,D,5on5,15,12323.0,261.0,5.28,0.49,0.44,0.51,0.43,0.51,0.45,76.0,13.71,0.4,0.76,3.51,0.46,9.1,6.78,0.39,0.4,0.39,1.0,1.0,12.0,9.0,11.0,32.0,4.0,2.0,0.0,0.0,2.0,0.0,6.0,11.0,10.0,19.0,1.0,5.0,0.0,13.0,3.0,5.0,20.0,1.0,0.0,0.32,0.09,0.0,1.0,1.0,0.0,32.05,21.0,20.89,4.0,0.15,0.0,0.0,0.55,0.54,0.53,261.0,18.0,21.0,25.0,197.0,15.0,33.0,38.0,175.0,0.0,0.0,33529.0,5.0,7.0,2.0,11.0,95.03,7.22,7.11,7.35,7.23,89.0,46.0,48.0,183.0,13.0,4.0,0.0,105.0,26.0,4.0,2.89,3.15,1.19,3.0,8.0,2.0,184.26,135.0,135.7,1.26,0.89,0.92,7.57,7.69,7.63,95.31,7.37,7.26,7.34,7.23,98.0,34.0,46.0,178.0,10.0,2.0,1.0,102.0,26.0,4.0,3.19,3.16,1.02,6.0,3.0,1.0,178.33,132.0,133.11,1.33,0.54,0.54,8.16,8.13,8.05,17.75,22.33,428.0,556.0,1.62,0.22,18.0,6.0,16.0,6.0
8477506,2015,Ryan Pulock,NYI,D,4on5,15,311.0,8.0,3.28,0.7,0.23,0.17,0.1,0.25,0.15,23.0,0.3,0.0,0.01,0.01,0.01,0.01,0.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,7.0,1.0,1.0,1.0,5.0,0.0,0.0,1463.0,0.0,0.0,0.0,0.0,1.08,0.12,0.12,0.12,0.12,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.01,0.0,0.0,0.13,0.13,0.13,4.06,0.05,0.05,0.05,0.05,4.0,2.0,4.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,0.09,0.0,0.0,0.14,0.14,0.14,0.72,2.36,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2015,Ryan Pulock,NYI,D,5on4,15,1082.0,21.0,2.15,0.66,0.89,0.77,0.91,0.72,0.9,27.0,2.52,0.06,0.27,0.59,0.07,1.83,1.18,0.06,0.06,0.06,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.07,0.0,0.0,0.13,0.13,0.13,21.0,7.0,1.0,0.0,13.0,6.0,0.0,2.0,13.0,0.0,0.0,2197.0,0.0,0.0,0.0,0.0,8.24,0.64,0.64,0.64,0.64,7.0,6.0,4.0,17.0,0.0,0.0,0.0,12.0,0.0,1.0,0.15,0.0,0.49,0.0,0.0,0.0,17.0,13.0,13.0,0.17,0.0,0.0,0.81,0.81,0.81,4.04,0.34,0.33,0.34,0.33,2.0,3.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.14,0.2,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.05,0.0,0.2,0.19,0.19,0.19,2.29,0.28,62.0,6.0,0.01,0.0,1.0,0.0,1.0,0.0
8477506,2016,Ryan Pulock,NYI,D,other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2016,Ryan Pulock,NYI,D,all,1,237.0,5.0,0.0,0.78,0.66,0.38,0.55,0.5,0.53,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,3363.0,0.0,0.0,0.0,1.0,1.4,0.11,0.11,0.11,0.11,2.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.11,0.0,0.0,1.0,0.0,0.0,3.03,2.0,2.04,0.03,0.0,0.0,0.13,0.13,0.13,1.52,0.03,0.03,0.03,0.03,2.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.93,2.0,1.93,0.01,0.0,0.0,0.04,0.04,0.04,2.49,1.26,58.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2016,Ryan Pulock,NYI,D,5on5,1,175.0,4.0,0.0,0.62,0.67,0.17,0.53,0.33,0.53,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2414.0,0.0,0.0,0.0,1.0,0.7,0.05,0.05,0.05,0.05,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,1.03,1.0,1.04,0.01,0.0,0.0,0.06,0.06,0.06,1.52,0.03,0.03,0.03,0.03,2.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.93,2.0,1.93,0.01,0.0,0.0,0.04,0.04,0.04,2.26,1.1,42.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2016,Ryan Pulock,NYI,D,4on5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2016,Ryan Pulock,NYI,D,5on4,1,62.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.7,0.06,0.06,0.06,0.06,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.02,0.0,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,9.0,0.0,0.02,0.0,1.0,0.0,1.0,0.0
8477506,2017,Ryan Pulock,NYI,D,other,68,3214.0,45.0,22.25,0.47,0.35,0.68,0.34,0.65,0.33,101.0,13.5,1.43,1.05,2.68,0.45,9.77,4.62,1.25,1.43,1.25,1.0,2.0,13.0,7.0,8.0,28.0,5.0,2.0,0.0,0.0,2.0,1.0,10.0,5.0,11.0,18.0,0.0,0.0,0.0,3.0,1.0,1.0,17.0,2.0,1.0,0.67,0.21,0.55,0.0,1.0,1.0,28.0,20.0,20.0,1.0,0.3,0.0,0.05,1.68,1.68,1.47,45.0,13.0,6.0,5.0,21.0,7.0,10.0,6.0,22.0,0.0,0.0,3709.0,0.0,0.0,0.0,4.0,50.41,6.34,6.03,6.34,6.03,53.0,19.0,25.0,97.0,5.0,1.0,0.0,45.0,21.0,6.0,2.02,2.48,1.85,1.0,2.0,2.0,97.0,72.0,72.0,1.18,0.05,0.05,7.47,7.47,7.1,27.38,7.03,6.97,7.03,6.97,27.0,11.0,8.0,46.0,7.0,2.0,1.0,23.0,6.0,9.0,0.85,0.78,5.4,1.0,1.0,5.0,46.0,38.0,38.0,0.43,0.67,0.67,6.79,6.79,6.78,5.92,10.93,45.0,86.0,0.09,0.0,2.0,0.0,2.0,0.0
8477506,2017,Ryan Pulock,NYI,D,all,68,75096.0,1501.0,36.7,0.53,0.44,0.53,0.44,0.52,0.44,280.0,168.54,8.9,10.88,42.68,5.71,105.7,75.14,8.48,8.83,8.41,10.0,12.0,184.0,65.0,109.0,358.0,32.0,10.0,10.0,0.0,32.0,13.0,88.0,96.0,174.0,239.0,7.0,14.0,0.0,113.0,25.0,35.0,232.0,12.0,5.0,5.6,1.36,1.94,4.0,4.0,2.0,352.15,249.0,246.21,25.0,2.38,3.18,0.78,10.5,10.41,9.96,1501.0,158.0,166.0,232.0,945.0,176.0,216.0,193.0,916.0,0.0,0.0,172948.0,14.0,10.0,5.0,86.0,682.5,62.34,60.52,62.3,60.48,734.0,236.0,353.0,1323.0,68.0,35.0,13.0,727.0,197.0,46.0,22.3,23.61,16.44,20.0,22.0,26.0,1313.27,970.0,966.27,10.72,8.5,8.5,64.56,64.51,63.19,635.83,55.48,53.96,55.85,54.33,652.0,238.0,302.0,1192.0,56.0,35.0,10.0,680.0,170.0,40.0,20.35,20.54,14.6,15.0,24.0,17.0,1201.73,890.0,898.01,8.79,7.84,7.86,56.42,56.92,55.98,128.65,164.78,2531.0,3191.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2017,Ryan Pulock,NYI,D,5on5,68,65303.0,1298.0,36.7,0.49,0.45,0.49,0.46,0.49,0.45,251.0,127.51,5.35,7.58,33.57,4.4,77.86,60.23,5.2,5.27,5.13,7.0,7.0,139.0,50.0,82.0,271.0,19.0,5.0,9.0,0.0,26.0,12.0,63.0,74.0,134.0,184.0,6.0,12.0,0.0,107.0,24.0,30.0,181.0,6.0,2.0,4.01,0.7,0.63,4.0,1.0,0.0,265.15,189.0,186.21,24.0,1.51,2.29,0.67,6.19,6.11,5.95,1298.0,115.0,154.0,211.0,818.0,154.0,190.0,152.0,802.0,0.0,0.0,137805.0,12.0,8.0,4.0,80.0,544.48,44.07,42.83,44.03,42.8,580.0,194.0,286.0,1060.0,50.0,30.0,10.0,597.0,149.0,28.0,17.87,17.98,8.23,18.0,17.0,15.0,1050.27,774.0,770.27,7.64,6.31,6.31,45.4,45.36,44.65,587.74,46.65,45.19,47.02,45.55,599.0,222.0,289.0,1110.0,48.0,33.0,9.0,634.0,157.0,30.0,18.87,18.87,8.91,14.0,22.0,12.0,1119.73,821.0,829.01,8.13,7.17,7.19,47.6,48.09,47.18,86.89,106.49,2017.0,2408.0,3.34,0.63,86.0,16.0,63.0,13.0
8477506,2017,Ryan Pulock,NYI,D,4on5,68,446.0,21.0,9.75,0.48,0.12,0.36,0.1,0.5,0.12,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,1.0,1.0,16.0,2.0,1.0,4.0,14.0,0.0,0.0,5673.0,0.0,0.0,0.0,0.0,1.99,0.07,0.07,0.07,0.07,2.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.02,0.0,0.0,0.09,0.09,0.09,1.9,0.08,0.08,0.08,0.08,0.0,3.0,4.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.03,0.0,0.0,0.11,0.11,0.11,1.32,9.53,20.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2017,Ryan Pulock,NYI,D,5on4,68,6133.0,137.0,34.45,0.91,0.88,0.87,0.89,0.84,0.87,130.0,26.85,2.09,2.21,6.31,0.84,17.66,9.89,2.01,2.09,2.01,2.0,3.0,31.0,8.0,17.0,56.0,8.0,3.0,1.0,0.0,4.0,0.0,15.0,16.0,28.0,36.0,1.0,2.0,0.0,2.0,0.0,4.0,33.0,4.0,2.0,0.89,0.45,0.76,0.0,2.0,1.0,56.0,39.0,39.0,0.0,0.55,0.89,0.06,2.59,2.59,2.5,137.0,27.0,5.0,15.0,90.0,13.0,15.0,31.0,78.0,0.0,0.0,12627.0,2.0,0.0,0.0,2.0,80.41,11.39,11.13,11.39,11.13,93.0,21.0,36.0,150.0,13.0,4.0,3.0,78.0,24.0,12.0,2.27,2.76,6.36,1.0,3.0,9.0,150.0,114.0,114.0,1.74,2.13,2.13,11.0,11.0,10.75,14.56,1.08,1.08,1.08,1.08,21.0,1.0,1.0,23.0,0.0,0.0,0.0,18.0,3.0,1.0,0.46,0.32,0.29,0.0,0.0,0.0,23.0,22.0,22.0,0.13,0.0,0.0,1.21,1.21,1.21,24.49,3.37,346.0,44.0,0.0,0.02,0.0,1.0,0.0,1.0
