playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8473575,2008,Semyon Varlamov,WSH,G,other,6,1231.0,1.26,2.0,27.0,0.72,1.0,2.53,3.0,11.8,10.0,0.59,0.0,6.59,4.0,5.59,7.0,1.25,14.0,3.0,1.0,0.51,0.4,0.34,2.0,0.0,0.0,9.0,0.0,0.0
8473575,2008,Semyon Varlamov,WSH,G,all,6,19713.0,15.96,13.0,276.0,11.51,12.0,34.2,39.0,156.85,159.0,5.61,4.0,84.27,68.0,62.51,76.0,15.55,153.0,49.0,13.0,5.06,6.35,4.56,4.0,5.0,4.0,61.0,2.0,1.0
8473575,2008,Semyon Varlamov,WSH,G,5on5,6,14315.0,10.13,8.0,189.0,7.86,5.0,25.16,27.0,111.61,113.0,4.23,3.0,59.91,49.0,44.67,59.0,9.93,107.0,40.0,5.0,3.71,5.17,1.25,2.0,5.0,1.0,37.0,0.0,0.0
8473575,2008,Semyon Varlamov,WSH,G,4on5,6,2494.0,3.91,3.0,54.0,2.7,5.0,5.9,9.0,28.65,31.0,0.1,1.0,16.49,13.0,9.15,7.0,3.77,29.0,4.0,6.0,0.78,0.5,2.63,0.0,0.0,3.0,15.0,0.0,0.0
8473575,2008,Semyon Varlamov,WSH,G,5on4,6,1673.0,0.67,0.0,6.0,0.22,1.0,0.61,0.0,4.79,5.0,0.69,0.0,1.27,2.0,3.1,3.0,0.6,3.0,2.0,1.0,0.05,0.28,0.33,0.0,0.0,0.0,0.0,2.0,1.0
8473575,2009,Semyon Varlamov,WSH,G,other,26,2455.0,7.8,7.0,100.0,4.52,4.0,11.99,8.0,60.92,49.0,1.25,1.0,36.13,39.0,21.48,25.0,7.3,50.0,23.0,11.0,1.67,2.8,3.35,2.0,3.0,2.0,16.0,0.0,0.0
8473575,2009,Semyon Varlamov,WSH,G,all,26,91646.0,66.23,65.0,1374.0,50.27,47.0,163.21,144.0,734.87,718.0,25.85,28.0,408.6,353.0,309.8,392.0,64.1,749.0,216.0,57.0,23.07,25.65,17.51,34.0,15.0,16.0,352.0,0.0,0.0
8473575,2009,Semyon Varlamov,WSH,G,5on5,26,73130.0,44.44,37.0,1040.0,36.26,38.0,128.29,111.0,554.65,550.0,19.41,25.0,304.73,265.0,241.53,307.0,43.26,586.0,157.0,30.0,18.32,18.39,7.73,20.0,10.0,7.0,267.0,0.0,0.0
8473575,2009,Semyon Varlamov,WSH,G,4on5,26,8279.0,11.04,20.0,196.0,8.02,3.0,19.69,23.0,95.57,98.0,0.53,0.0,59.96,40.0,31.9,44.0,10.71,96.0,26.0,12.0,2.54,3.25,5.25,11.0,2.0,7.0,62.0,0.0,0.0
8473575,2009,Semyon Varlamov,WSH,G,5on4,26,7782.0,2.34,1.0,26.0,1.0,2.0,1.76,2.0,16.12,16.0,4.46,1.0,4.44,4.0,10.99,11.0,2.24,11.0,6.0,4.0,0.39,0.76,1.19,1.0,0.0,0.0,5.0,0.0,0.0
8473575,2010,Semyon Varlamov,WSH,G,other,27,2914.0,6.27,5.0,81.0,3.44,2.0,8.25,13.0,42.44,45.0,1.42,4.0,23.12,15.0,14.49,22.0,5.93,36.0,9.0,12.0,1.25,1.11,3.91,0.0,1.0,4.0,24.0,0.0,0.0
8473575,2010,Semyon Varlamov,WSH,G,all,27,93603.0,66.83,58.0,1460.0,55.72,57.0,178.27,139.0,786.14,759.0,25.81,18.0,438.46,357.0,323.52,457.0,64.41,831.0,196.0,61.0,23.06,23.88,19.89,18.0,18.0,22.0,372.0,2.0,1.0
8473575,2010,Semyon Varlamov,WSH,G,5on5,27,72810.0,46.5,36.0,1130.0,39.89,45.0,141.43,105.0,600.88,571.0,18.48,12.0,333.1,262.0,252.01,366.0,44.75,650.0,147.0,35.0,18.59,18.14,9.77,13.0,13.0,10.0,298.0,2.0,1.0
8473575,2010,Semyon Varlamov,WSH,G,4on5,27,9231.0,11.42,14.0,214.0,11.2,8.0,25.47,21.0,119.65,119.0,0.58,0.0,74.69,73.0,40.21,49.0,11.18,125.0,30.0,12.0,2.53,3.46,5.42,4.0,3.0,7.0,47.0,0.0,0.0
8473575,2010,Semyon Varlamov,WSH,G,5on4,27,8648.0,1.69,1.0,28.0,0.9,1.0,2.12,0.0,17.86,17.0,5.28,2.0,5.4,5.0,14.37,18.0,1.67,17.0,7.0,1.0,0.59,0.82,0.28,0.0,1.0,0.0,3.0,0.0,0.0
8473575,2011,Semyon Varlamov,COL,G,other,53,5289.0,7.62,11.0,133.0,5.12,3.0,14.2,13.0,68.24,77.0,1.74,2.0,38.75,36.0,26.83,30.0,7.03,70.0,17.0,8.0,2.28,2.26,3.08,3.0,4.0,4.0,38.0,0.0,0.0
8473575,2011,Semyon Varlamov,COL,G,all,53,189081.0,134.73,136.0,2874.0,109.68,127.0,360.27,315.0,1561.03,1564.0,50.52,44.0,870.68,717.0,655.59,834.0,129.45,1681.0,376.0,126.0,49.01,46.34,39.39,40.0,49.0,47.0,691.0,2.0,1.0
8473575,2011,Semyon Varlamov,COL,G,5on5,53,152907.0,99.44,95.0,2264.0,83.82,105.0,296.89,262.0,1248.7,1252.0,40.99,39.0,686.37,551.0,532.77,681.0,96.09,1354.0,302.0,85.0,39.11,36.72,23.62,31.0,37.0,27.0,523.0,2.0,1.0
8473575,2011,Semyon Varlamov,COL,G,4on5,53,17531.0,24.57,28.0,424.0,19.41,18.0,45.3,34.0,216.32,205.0,1.21,0.0,137.25,125.0,73.42,97.0,23.27,227.0,52.0,28.0,6.86,6.7,11.01,5.0,8.0,15.0,117.0,0.0,0.0
